spotify_id,artist,track,file_path,genre,valence,arousal,colour
0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,spotify_audio/41.mp3,pop,5.9294962882995605,6.235651969909668,blue
3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',spotify_audio/42.mp3,rock,5.240875720977783,6.280085563659668,blue
6zSpb8dQRaw0M1dK8PBwQz,Elton John,Cold Heart - PNAU Remix,spotify_audio/43.mp3,disco,5.168815612792969,6.020611763000488,red
1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,spotify_audio/44.mp3,pop,4.826799392700195,3.4390571117401123,red
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,spotify_audio/45.mp3,pop,5.543298721313477,5.525639533996582,blue
4qu63nuBpdn0qHUHuObEj1,Marshmello,Leave Before You Love Me (with Jonas Brothers),spotify_audio/46.mp3,pop,5.518366813659668,6.011557102203369,blue
0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,spotify_audio/47.mp3,pop,6.372357368469238,6.301174163818359,blue
26b3oVLrRUaaybJulow9kz,Libianca,People,spotify_audio/48.mp3,pop,5.896787643432617,5.102878570556641,blue
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,spotify_audio/49.mp3,pop,3.7584478855133057,5.240802764892578,red
6dpLxbF7lfCAnC9QRTjNLK,Good Neighbours,Home,spotify_audio/50.mp3,rock,4.082194805145264,3.7090227603912354,red
1rAzOr3zpUDRtN2zsqGHiG,Linkin Park,Friendly Fire,spotify_audio/51.mp3,rock,4.529317378997803,5.601047039031982,red
36FZL9SzRh5BhtG1cUyGWr,girl in red,Too Much,spotify_audio/52.mp3,rock,4.2114763259887695,3.594754695892334,red
7Gk8icymiW50sDfFbWLoVG,Nothing But Thieves,Oh No :: He Said What?,spotify_audio/53.mp3,rock,6.187386512756348,7.1349687576293945,blue
3pRCHHfwYNVCOjWSrkGNw1,Paramore,Burning Down the House,spotify_audio/54.mp3,rock,4.70538330078125,5.449873924255371,red
7kcApwUclbIw9B6MuVmqPc,Twenty One Pilots,Overcompensate (edit),spotify_audio/55.mp3,rock,3.757080554962158,4.643585681915283,red
5y1kheWw8d3DHl8bv5aEE8,Kings of Leon,Mustang,spotify_audio/56.mp3,rock,3.9255614280700684,4.891688346862793,red
4AbYZMzeVqGE8Ys4wbI0PT,d4vd,Leave Her,spotify_audio/57.mp3,rock,5.31522274017334,5.512124061584473,blue
6sQ833YbGp8SbtGcLCBwHw,Cigarettes After Sex,Tejano Blue,spotify_audio/58.mp3,rock,4.166854381561279,6.2459893226623535,green
2tKqhcDNVVKXJqllKzrecM,Vampire Weekend,Capricorn,spotify_audio/59.mp3,rock,6.551464557647705,6.594179153442383,blue
64pGB9FHgZsu60aNC3mK9s,Suki Waterhouse,OMG,spotify_audio/60.mp3,rock,5.253914833068848,5.1434712409973145,red
6pP7muebYMLT46IOZOLvyN,Bleachers,Tiny Moves,spotify_audio/61.mp3,rock,4.48665714263916,4.036031246185303,red
2F8GiqfSE1JSjLGHlHMmQa,Wallows,Your Apartment,spotify_audio/62.mp3,rock,5.784678936004639,6.696953296661377,blue
0YLhxYUv69go9H8iirbSWO,Catfish and the Bottlemen,Showtime,spotify_audio/63.mp3,rock,5.435943603515625,6.417807579040527,blue
756ziR2z4iXkK35qwBLUiY,The Black Keys,I Forgot To Be Your Lover,spotify_audio/64.mp3,rock,6.0806498527526855,5.11067008972168,blue
1gRK6QnBOpNtEDjYKftzTc,The Last Dinner Party,The Feminine Urge,spotify_audio/65.mp3,rock,4.707891464233398,5.253192901611328,red
5PCMU8scAoT4sz4Fn2Umua,Sum 41,Waiting On A Twist Of Fate,spotify_audio/66.mp3,rock,3.803408145904541,4.608145713806152,red
1uQ5oCjZvQsMZaBFAdkSuF,EKKSTACY,alright (feat. The Kid LAROI),spotify_audio/67.mp3,rock,5.749383926391602,6.655950546264648,blue
7f4azWcTVEDHZ7DSc5eh5a,IDLES,POP POP POP,spotify_audio/68.mp3,rock,5.167884826660156,5.782372951507568,red
42YrtW7V1OyF3BXi0ftYQj,Mumford & Sons,Good People,spotify_audio/69.mp3,rock,5.153820991516113,4.735471725463867,red
4Zy6m1QjUivLl8Zt7E8uxr,The Beaches,Edge of the Earth,spotify_audio/70.mp3,rock,5.1645097732543945,4.48091459274292,red
1ROCJzbhjpP7uYRrse4fzf,Mother Mother,Explode!,spotify_audio/71.mp3,rock,5.846632957458496,6.710133075714111,blue
43Ka2d0YZZlOzVGwf96xNw,Giant Rooks,Pink Skies,spotify_audio/72.mp3,rock,5.1681342124938965,5.626522541046143,red
5gUiI6bJSPcKM2lwRaLAgE,Infinity Song,Slow Burn,spotify_audio/73.mp3,rock,5.060883045196533,4.438403129577637,red
1nNqKHLoMMzpQNhsZihMgC,Kasabian,Call,spotify_audio/74.mp3,rock,5.0370707511901855,5.75693416595459,red
2FKnNu9PmgcUSXXBgR2phR,ThxSoMch,When The Devil Speaks…,spotify_audio/75.mp3,rock,6.093194961547852,5.8447957038879395,blue
6qFnjQ4ULgV9YU5ukUDdwE,Lola Young,Wish You Were Dead,spotify_audio/76.mp3,rock,4.481293201446533,4.417214393615723,red
6c4IBaa5opgDKC5mVQEauZ,MGMT,Dancing In Babylon (feat. Christine and the Queens),spotify_audio/77.mp3,rock,4.189203262329102,4.780937194824219,red
5BxC04q61icn0SHinQCBeR,Palaye Royale,Dead To Me,spotify_audio/78.mp3,rock,4.676434516906738,6.022833824157715,red
49T4ZaBd8G932neUPU9AWB,jxdn,WHEN THE MUSIC STOPS,spotify_audio/79.mp3,rock,4.248891353607178,4.788520812988281,red
536ZTi6wWJQ2gYXkXnJwVX,Charlotte Sands,spite,spotify_audio/80.mp3,rock,6.524425983428955,7.139341831207275,blue
1seLWPX7HzMY1FZ4lrGXuD,Wisp,See you soon,spotify_audio/81.mp3,rock,5.2202982902526855,4.944515228271484,red
4cwi0Yd3pq1GfvHj7FLMdn,Royal & the Serpent,kinda smacks,spotify_audio/82.mp3,rock,6.672296047210693,8.130208969116211,blue
3ArhAv6XnxAnGK8s6et1E1,THE DRIVER ERA,Get Off My Phone,spotify_audio/83.mp3,rock,4.510093688964844,5.392555236816406,red
,Jelani Aryeh,I'm in Love,spotify_audio/84.mp3,rock,6.43991231918335,6.403458118438721,blue
,Empress Of,What's Love (feat. MUNA),spotify_audio/85.mp3,rock,4.340799331665039,5.20249605178833,red
2Yj6z7338KEuVa2YxU2vqk,WesGhost,FACETIME,spotify_audio/86.mp3,rock,4.30980920791626,5.710285663604736,red
2t6drKARdGJAAEzx9PTlo3,Aidan Bissett,Planet,spotify_audio/87.mp3,rock,5.889796257019043,6.75643253326416,blue
0KbiElEOrLB2Yeo8aHkenq,Knox,"Me, Myself & Your Eyes",spotify_audio/88.mp3,rock,6.064032554626465,5.313733100891113,blue
0xFKj9yBje6JakSVa2JsrO,Gus Dapperton,Lil Tune,spotify_audio/89.mp3,rock,4.904715538024902,5.430484771728516,red
4Ne4UbfqgXcBdIsYHjvR6y,PVRIS,Burn The Witch,spotify_audio/90.mp3,rock,6.52850341796875,5.801475524902344,blue
7ClwnN5j16cc6i5MqWFgHK,St. Vincent,Broken Man,spotify_audio/91.mp3,rock,3.9008710384368896,5.097156524658203,red
6Yx5Cw2mVmx6LiVP2VXWEO,Cage The Elephant,Out Loud,spotify_audio/92.mp3,rock,5.023434638977051,6.021083831787109,red
38LwV7bVPuuWG4PqlhTxtK,X Ambassadors,Your Town,spotify_audio/93.mp3,rock,4.589548110961914,4.192492485046387,red
1QfSvXdSRc57B7eYGeYL3O,Jazmin Bean,You Know What You’ve Done,spotify_audio/94.mp3,rock,4.76554012298584,3.7478737831115723,red
50MENnfIoeGMMmN1NpVZxx,Friday Pilots Club,Vampire Disco,spotify_audio/95.mp3,rock,5.4962615966796875,5.934638500213623,blue
49sFu3Kz7zf94qT27b2ZF9,I DONT KNOW HOW BUT THEY FOUND ME,DOWNSIDE,spotify_audio/96.mp3,rock,7.06795072555542,5.869370937347412,blue
1uMo2HFIfKc3NJVl73L1zj,Alice Merton,run away girl,spotify_audio/97.mp3,rock,5.722101211547852,5.520949363708496,blue
2YbJ0qJ5uqOPfLGvqMLkaK,Cannons,Heartbeat Highway,spotify_audio/98.mp3,rock,5.628229141235352,5.490252494812012,blue
4ne40SWAvqOQu0HD2fwgWd,Gary Clark Jr.,Maktub,spotify_audio/99.mp3,rock,3.853884220123291,4.533259391784668,red
52eIcoLUM25zbQupAZYoFh,21 Savage,redrum,spotify_audio/100.mp3,pop,4.834026336669922,5.250818252563477,red
4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,spotify_audio/101.mp3,pop,6.480711936950684,6.473320960998535,blue
3w0w2T288dec0mgeZZqoNN,¥$,CARNIVAL,spotify_audio/102.mp3,hiphop,5.952512741088867,5.246844291687012,blue
6uTPdRrEDeH8Fyg5L5qmeU,Flo Milli,Never Lose Me,spotify_audio/103.mp3,pop,5.548702239990234,5.699433326721191,blue
1udwFobQ1JoOdWPQrp2b6u,JID,Surround Sound (feat. 21 Savage & Baby Tate),spotify_audio/104.mp3,pop,4.9259233474731445,5.538260459899902,red
6wsqVwoiVH2kde4k4KKAFU,Travis Scott,I KNOW ?,spotify_audio/105.mp3,hiphop,4.870233058929443,5.699024677276611,red
2YSzYUF3jWqb9YP9VXmpjE,Drake,IDGAF (feat. Yeat),spotify_audio/106.mp3,hiphop,3.809938669204712,3.4430365562438965,red
4kjI1gwQZRKNDkw1nI475M,Travis Scott,MY EYES,spotify_audio/107.mp3,hiphop,3.94876766204834,5.541853427886963,red
7aqfrAY2p9BUSiupwk3svU,Drake,First Person Shooter (feat. J. Cole),spotify_audio/108.mp3,hiphop,4.333841800689697,4.113208770751953,red
2yUzr8Sr6ldG8vmHhZwTnz,21 Savage,née-nah,spotify_audio/109.mp3,hiphop,4.865189552307129,5.875850677490234,red
7sTyAjxDXq9afwfSQy6D0s,Don Toliver,Bandit,spotify_audio/110.mp3,hiphop,4.794724464416504,5.175827503204346,red
5tEaVciE2GnR28aN6W9cLS,¥$,FUK SUMN,spotify_audio/111.mp3,hiphop,5.597902297973633,5.34710693359375,blue
1a73gcEg6h6Re6hHXoVltJ,Nicki Minaj,FTCU,spotify_audio/112.mp3,hiphop,5.948123931884766,5.298364639282227,blue
69phA1R4gmQsBFRQ3INW8C,Rich Amiri,ONE CALL,spotify_audio/113.mp3,hiphop,6.031769752502441,5.764945983886719,blue
57wp7VFnV8X0pSVnYArGeJ,Bryson Tiller,Whatever She Wants,spotify_audio/114.mp3,hiphop,4.588947296142578,5.2214131355285645,red
1icgLGTpX2fQXKRe4D7w2b,¥$,BACK TO ME,spotify_audio/115.mp3,hiphop,6.1834540367126465,4.352937698364258,blue
6x9pCndnXEoea0CMcfjs9W,21 Savage,n.h.i.e.,spotify_audio/116.mp3,hiphop,4.685800552368164,5.370269298553467,red
4w2Furap0ZzaiK4J14E9sR,Ice Spice,Think U The Shit (Fart),spotify_audio/117.mp3,hiphop,4.946822643280029,4.8219404220581055,red
79AHPJd8upvNxyK2qQcY8J,Megan Thee Stallion,HISS,spotify_audio/118.mp3,hiphop,5.547516345977783,8.859648704528809,green
5NAOhPAZ57eFAXr3qatS6i,Yeat,Breathe,spotify_audio/119.mp3,hiphop,4.3261613845825195,5.805915355682373,red
1X72FLGOB90B1MFYWRh9Vj,Key Glock,Let's Go,spotify_audio/120.mp3,hiphop,5.856701850891113,5.877251625061035,blue
2Gk6fi0dqt91NKvlzGsmm7,Offset,SAY MY GRACE (feat. Travis Scott),spotify_audio/121.mp3,hiphop,5.561463356018066,6.233218669891357,blue
